transit_id,pl_period,pl_transit_duration,pl_transit_depth,pl_radius,pl_eq_temp,pl_insolation_flux,st_eff_temp,st_radius,st_logg
K01156.01,1.872421727,1.5261,3018.9,5.65,1298.0,672.92,5337.0,0.825,4.486
K01023.01,8.4120069,3.923,819.6,1.71,590.0,28.69,4502.0,0.621,4.668
K01088.01,0.995861402,1.1507,4993.8,26.93,1477.0,1124.35,5286.0,0.706,4.604
K01159.01,64.617518,5.796,2486.6,5.4,383.0,5.09,5043.0,0.881,4.47
K01161.01,6.05729966,3.7419,385.2,1.94,947.0,189.98,5334.0,1.004,4.372
K00131.01,5.014234733,4.589,6536.0,10.63,1308.0,692.13,6490.0,1.307,4.32
K01030.01,9.22961384,2.235,492.1,2.79,1021.0,257.11,6320.0,1.252,4.347
K01161.02,10.93725572,3.0822,421.6,2.41,777.0,86.28,5334.0,1.004,4.372
K01161.03,2.97136658,2.716,233.3,1.52,1200.0,490.13,5334.0,1.004,4.372
K00958.01,21.76129812,1.243,1300.7,2.53,486.0,13.18,4859.0,0.72,4.612
K01164.01,0.933749941,6.606,415.3,12.93,919.0,168.44,3682.0,0.48,4.786
K00964.01,3.273699006,3.07626,6862.8,22.36,3060.0,20728.79,10816.0,2.493,4.086
K01361.01,59.8780258,4.8027,1419.1,2.19,273.0,1.31,4016.0,0.599,4.658
K01362.01,20.51360192,3.4769,1174.1,2.58,540.0,20.15,5310.0,0.704,4.608
K01430.01,10.47548084,2.3024,1070.7,2.11,540.0,20.15,4463.0,0.611,4.677
K01430.02,22.92886314,2.0831,908.9,2.08,416.0,7.09,4463.0,0.611,4.677
K01430.03,77.4740991,4.168,1543.6,2.63,277.0,1.4,4463.0,0.611,4.677
K01366.01,19.25404023,4.6509,987.7,3.04,657.0,44.17,5798.0,0.941,4.507
K01246.01,19.03723442,3.3882,401.3,5.74,1051.0,288.04,5248.0,2.892,3.523
K01366.02,54.1558384,4.432,1109.8,3.88,466.0,11.12,5798.0,0.941,4.507
K01368.01,251.0597249,5.1095,7419.8,44.2,301.0,1.93,5714.0,1.086,4.34
K00169.01,11.70219638,2.6658,639.7,16.15,719.0,63.16,5758.0,0.762,4.596
K01254.01,5.082722475,5.9139,1974.1,4.4,1059.0,296.94,5780.0,1.0,4.438
K01256.01,9.991625291,3.8552,3450.5,38.93,907.0,160.14,5874.0,1.096,4.338
K01370.01,6.8833761,2.2702,458.4,1.69,857.0,127.67,5679.0,0.794,4.581
K01257.01,86.64764448,4.2326,7311.6,9.4,419.0,7.28,5522.0,1.12,4.323
K01319.01,16.025018977,3.8828,29090.0,1069.01,657.0,44.01,5776.0,0.789,4.582
K01378.01,19.30112039,6.0752,232.3,1.66,669.0,47.49,5687.0,0.943,4.408
K00019.01,1.20320092,1.9197,2807.1,49.25,2124.0,4809.16,6218.0,1.349,4.198
K01452.01,1.152216965,2.2245,12072.0,187.73,5283.0,183811.71,5560.0,15.113,2.619
K01323.01,3.990105908,2.4108,6154.9,7.45,1124.0,378.53,5926.0,0.913,4.519
K01378.02,0.691666384,1.9603,35.6,0.58,2031.0,4014.57,5687.0,0.943,4.408
K01443.01,4.494498254,1.9742,248.2,62.11,1667.0,1824.84,5117.0,3.403,3.578
K01444.01,44.9306706,6.539,438.4,2.49,565.0,24.17,6121.0,1.164,4.397
K01264.01,14.13175309,4.0136,1033.0,3.02,675.0,49.18,5616.0,0.822,4.564
K01328.01,80.9669561,2.5276,4733.0,5.04,364.0,4.14,5611.0,0.737,4.61
K01383.01,3.221785738,3.3411,46379.0,25.03,1357.0,800.37,6250.0,1.041,4.411
K01455.01,15.068060768,3.3011,19387.0,16.43,742.0,71.78,5982.0,0.96,4.493
K01208.01,700.00298217,7.6525,3245.9,6.43,238.0,0.76,6487.0,1.118,4.397
K01213.01,0.796722833,2.4551,107.1,1.44,2401.0,7844.64,5959.0,1.334,4.121
K01281.01,49.4781446,2.493,496.6,1.88,462.0,10.73,5776.0,0.849,4.554
K01405.01,11.41911886,5.135,509.2,3.32,921.0,170.33,6311.0,1.172,4.398
K01286.01,0.668483615,2.0909,2899.8,29.53,1832.0,2642.17,5546.0,0.81,4.575
K01347.01,14.405857436,5.48509,30430.6,23.42,888.0,146.95,5945.0,1.346,4.196
K01221.01,30.1599411,7.874,175.9,4.54,836.0,115.69,5010.0,3.051,3.62
K01221.02,51.0771048,11.233,141.5,3.66,702.0,57.28,5010.0,3.051,3.62
K01223.01,7.388833611,5.62857,13063.5,10.66,877.0,139.94,5845.0,0.838,4.558
K01224.01,2.698021895,23.192,6721.2,52.51,1582.0,1481.76,6568.0,1.211,4.36
K01291.01,1.231364189,5.8574,1097.1,5.39,1707.0,2005.15,5897.0,0.891,4.429
K00160.01,13.73808249,3.354,660.7,3.84,912.0,163.52,6375.0,1.178,4.292
K00017.01,3.234699282,3.59385,10558.7,13.06,1356.0,797.62,5640.0,1.291,4.236
K01295.01,1.577800747,2.1626,697.7,31.24,1513.0,1236.23,6089.0,0.802,4.566
K01234.01,0.973547911,2.2858,435.7,11.52,1814.0,2556.6,6084.0,0.863,4.542
K01298.01,11.00817635,2.013,1462.5,2.15,488.0,13.39,4141.0,0.582,4.684
K01298.02,92.7495777,5.506,1105.1,1.87,240.0,0.78,4141.0,0.582,4.684
K01424.01,1.219568047,1.5681,494.9,1.51,1252.0,578.96,4838.0,0.701,4.625
K01236.01,35.7353616,8.491,778.8,5.47,774.0,84.66,6366.0,1.697,4.045
K01236.02,12.30971679,6.74,396.0,3.82,1104.0,350.46,6366.0,1.697,4.045
K01236.03,54.4205407,8.559,598.0,3.2,574.0,25.6,6781.0,1.067,4.422
K01716.01,4.88084456,2.5574,343.0,1.55,879.0,141.0,4929.0,0.861,4.481
K01717.01,10.56137217,3.2645,238.4,2.43,867.0,133.56,5610.0,1.171,4.316
K01492.01,0.70544824,2.9423,462.4,20.03,1868.0,2899.07,5717.0,0.826,4.564
K01720.01,59.6585348,5.514,1043.8,3.59,393.0,5.66,5243.0,0.831,4.547
K01721.01,52.6298542,6.118,675.8,3.68,544.0,20.65,5339.0,1.433,4.096
K00192.01,10.290994129,4.28889,9655.7,13.43,996.0,233.08,5803.0,1.373,4.134
K01723.01,59.6222627,6.888,993.4,3.63,486.0,13.23,6108.0,0.997,4.471
K01494.01,8.19596647,2.824,792.8,2.04,672.0,48.2,4723.0,0.747,4.557
K00174.01,56.35407916,3.4449,1037.0,2.59,352.0,3.63,4802.0,0.701,4.582
K01561.01,9.08590495,2.0718,2121.3,6.28,861.0,130.1,5931.0,0.866,4.479
K01612.01,2.465024332,1.262,30.7,0.69,1561.0,1406.11,6139.0,1.194,4.291
K00188.01,3.797018259,2.2608,14431.2,10.07,982.0,219.64,5167.0,0.848,4.527
K01724.01,17.42393582,4.929,770.9,3.29,722.0,64.13,6018.0,0.969,4.46
K01728.01,12.7319385,4.4157,11449.0,70.11,1145.0,405.75,7238.0,1.568,4.221
K01563.01,5.48711441,2.93,1328.6,3.24,836.0,115.29,5103.0,0.787,4.562
K01563.02,8.29084167,3.613,1033.9,3.21,728.0,66.47,5103.0,0.787,4.562
K01563.03,3.20539622,2.143,453.6,1.7,1000.0,236.11,5103.0,0.787,4.562
K01563.04,16.73869035,2.398,996.8,2.56,576.0,26.06,5103.0,0.787,4.562
K00181.01,5.093938816,3.93144,25026.7,17.19,1137.0,395.38,6197.0,1.035,4.449
K01621.01,20.31047472,5.3357,164.6,2.41,931.0,177.81,6065.0,1.877,3.97
K01622.01,69.8347983,8.262,266.6,3.51,765.0,80.97,7732.0,2.022,4.075
K01731.01,2.59488443,1.684,592.2,2.36,1014.0,249.92,4748.0,0.797,4.526
K01501.01,2.617028373,2.046,499.4,1.57,996.0,233.23,4831.0,0.724,4.568
K01630.01,11.30507984,3.989,278.4,1.4,744.0,72.67,5705.0,0.844,4.556
K01764.01,12.681733929,1.6866,5879.1,7.25,601.0,30.84,4976.0,0.701,4.577
K01765.01,6.814984472,3.05409,23915.3,14.18,836.0,115.58,5465.0,0.817,4.566
K01510.01,0.839961456,1.3008,492.9,1.63,1455.0,1066.37,4932.0,0.718,4.618
K01512.01,9.04189129,2.789,783.4,3.24,729.0,66.83,5237.0,0.826,4.572
K01753.01,0.979442525,1.0348,469.3,1.64,1567.0,1420.01,5532.0,0.745,4.607
K01754.01,15.13590453,2.236,255.7,2.57,933.0,179.16,6050.0,1.572,4.137
K01649.01,4.04355245,1.965,416.2,1.75,613.0,33.34,3871.0,0.532,4.744
K01758.01,5.59728249,1.795,1407.3,3.28,930.0,176.53,5610.0,0.858,4.551
K01578.01,2.27190723,5.383,149.0,1.12,1318.0,714.27,5788.0,0.856,4.506
K01651.01,51.3011844,5.359,498.9,2.07,492.0,13.86,6032.0,0.929,4.508
K01655.01,0.938466959,1.3015,217.4,1.58,1876.0,2919.17,5499.0,1.087,4.323
K01781.01,7.834433676,2.89,2018.1,3.47,689.0,53.33,4920.0,0.72,4.62
K01781.02,3.005156911,2.0747,691.6,2.2,949.0,191.27,4920.0,0.72,4.62
K01526.01,4.4444826,3.686,163.0,1.71,1217.0,518.45,6240.0,1.079,4.426
K01529.01,17.9776037,4.605,213.9,1.58,752.0,75.61,6296.0,1.006,4.46
K01529.02,11.8693144,4.653,101.9,1.09,864.0,131.58,6296.0,1.006,4.46
K01586.01,6.99130452,2.1568,555.4,1.95,716.0,62.05,4847.0,0.761,4.606
K01466.01,281.5628889,8.853,21012.0,10.83,214.0,0.49,4810.0,0.776,4.536
K01681.01,6.93910337,2.977,614.7,1.41,445.0,9.28,3638.0,0.42,4.844
K01683.01,9.11500269,4.558,268.3,1.78,906.0,159.34,5962.0,1.028,4.431
K01536.01,3.74443645,2.9191,73.3,1.1,1328.0,736.89,5876.0,1.293,4.269
K01684.01,62.81584402,2.6901,1688.4,57.62,582.0,27.14,6340.0,1.492,4.23
K01474.01,69.72646639,3.7177,4491.2,11.65,613.0,33.3,6430.0,1.731,4.107
K01540.01,1.207852845,3.5802,49720.0,38.59,1539.0,1331.31,5601.0,0.797,4.533
K01479.01,4.9883872,9.142,638.2,2.59,990.0,227.27,5819.0,0.823,4.565
K01544.01,1.525924389,3.15998,24627.2,49.86,1722.0,2072.8,6203.0,1.06,4.427
K01545.01,5.910371418,3.88962,17219.2,12.62,1053.0,290.83,6200.0,0.958,4.488
K01546.01,0.917568975,2.0654,15805.0,11.92,1748.0,2197.57,5713.0,0.893,4.541
K01959.01,36.5157639,3.6577,861.3,2.55,425.0,7.71,4847.0,0.781,4.54
K01892.01,62.5613879,5.907,1372.6,3.54,417.0,7.13,5662.0,0.84,4.56
K01964.01,2.229326354,1.9946,49.1,0.6,1273.0,621.53,5587.0,0.865,4.525
K02038.01,8.30537702,3.751,365.6,1.69,809.0,101.43,5435.0,0.873,4.495
K01831.01,51.8098276,6.343,1025.4,2.6,410.0,6.71,5191.0,0.826,4.53
K01831.02,4.38536428,2.5126,198.5,1.15,935.0,180.22,5191.0,0.826,4.53
K01831.03,34.205785079,5.1691,183.2,1.1,471.0,11.67,5191.0,0.826,4.53
K01831.04,13.97945055,1.2325,356.1,1.97,635.0,38.44,5191.0,0.826,4.53
K02038.02,12.51353325,4.301,430.8,1.88,706.0,58.69,5435.0,0.873,4.495
K02038.03,17.9134215,4.364,197.8,1.39,626.0,36.38,5435.0,0.873,4.495
K02038.04,25.2149143,5.76,174.1,1.19,559.0,23.05,5435.0,0.873,4.495
K02039.01,5.42586901,2.5342,259.0,1.48,973.0,211.66,5594.0,0.934,4.489
K00206.01,5.334082429,6.2226,4676.5,13.08,1495.0,1180.64,6332.0,1.905,4.016
K01900.01,5.18498961,2.1397,430.1,1.15,652.0,42.62,4325.0,0.56,4.68
K01971.01,19.32945602,3.794,935.5,2.26,529.0,18.57,5026.0,0.763,4.604
K00024.01,2.086075752,2.2647,3657.8,10.3,1845.0,2747.42,6131.0,1.417,4.071
K01840.01,7.03932913,3.514,836.7,4.67,1060.0,298.33,5846.0,1.24,4.278
K01842.01,16.84183355,2.6194,822.1,3.08,699.0,56.43,5602.0,1.009,4.404
K00200.01,7.340714946,2.9987,8510.5,14.31,1155.0,421.03,6056.0,1.498,4.191
K01978.01,6.51112385,1.6919,695.1,3.09,1008.0,243.67,6032.0,1.001,4.465
K01978.02,23.85163321,2.4453,833.7,3.37,654.0,43.19,6032.0,1.001,4.465
K01980.01,122.8799543,7.835,717.7,2.7,326.0,2.66,5413.0,0.861,4.51
K00221.01,3.413036353,2.61366,3868.7,6.62,1200.0,490.24,5392.0,1.087,4.314
K01845.01,1.970340203,1.7901,403.2,3.97,1599.0,1540.07,4883.0,1.667,3.972
K01845.02,5.05821338,1.132,748.3,10.69,1168.0,439.8,4883.0,1.667,3.972
K01985.01,5.756245244,1.071,623.6,2.24,773.0,84.16,4931.0,0.734,4.605
K01854.01,43.0343364,6.571,541.6,2.5,484.0,13.01,5550.0,0.911,4.476
K01920.01,16.57099265,2.9052,644.9,2.03,614.0,33.53,5483.0,0.779,4.589
K01922.01,1.954525966,2.0944,392.8,2.38,1540.0,1331.18,5741.0,1.136,4.331
K01998.01,6.77408984,2.6215,520.3,2.5,1058.0,295.82,6246.0,1.092,4.433
K01928.01,63.0380366,7.3702,658.7,2.59,465.0,11.1,5798.0,1.019,4.411
K02004.01,56.1886436,6.5272,346.2,2.56,503.0,15.13,5700.0,1.176,4.327
K02005.01,6.92101452,4.3591,529.7,1.48,619.0,34.85,4461.0,0.585,4.661
K01861.01,17.50441726,4.2585,725.4,3.56,824.0,108.78,5815.0,1.329,4.16
K01863.01,33.7888028,5.496,649.2,2.71,611.0,33.01,6202.0,1.062,4.436
K01794.01,3.364425589,1.3261,4843.0,56.83,1106.0,352.97,5813.0,0.775,4.589
K01868.01,17.76076524,1.6679,1287.2,1.93,368.0,4.34,3826.0,0.516,4.744
K02011.01,7.05675145,2.0261,130.0,1.68,1196.0,483.95,6388.0,1.402,4.244
K02012.01,34.8536903,5.333,767.7,2.4,522.0,17.62,5818.0,0.848,4.554
K01934.01,28.78270955,3.451,864.5,2.11,443.0,9.09,4774.0,0.745,4.58
K00211.01,124.03589939,4.8472,7690.0,11.13,413.0,6.88,5822.0,1.28,4.244
K02023.01,13.59051547,3.784,621.9,2.4,724.0,64.8,5442.0,0.974,4.409
K01809.01,13.09390911,2.2805,398.7,2.2,752.0,75.58,5772.0,0.956,4.487
K01809.02,4.915385452,2.7757,225.5,1.46,1042.0,279.43,5772.0,0.956,4.487
K00023.01,4.693305543,5.17249,14522.9,17.85,1389.0,881.73,6365.0,1.47,4.22
K00212.01,5.69590202,3.5661,4921.1,6.61,1043.0,279.61,6106.0,0.94,4.497
K01822.01,150.8783198,8.6797,659.9,4.37,423.0,7.56,5504.0,1.737,3.999
K02102.01,187.746606,5.885,1583.0,2.95,267.0,1.2,5303.0,0.753,4.55
K02256.01,10.71253475,2.7186,1198.6,2.02,485.0,13.09,4175.0,0.544,4.715
K02341.01,0.990516282,2.019,101.6,3.52,2841.0,15469.83,5975.0,2.399,3.755
K02342.01,15.0447098,5.823,97.9,1.51,931.0,177.24,5798.0,1.525,4.025
K02107.01,81.3153052,5.807,715.5,2.55,393.0,5.64,5325.0,0.975,4.39
K02109.01,19.7919389,3.787,383.7,2.58,736.0,69.48,6285.0,1.039,4.441
K02175.01,26.8475962,10.068,254.1,3.2,800.0,96.89,5508.0,1.988,3.897
K00231.01,119.8401019,3.6796,5448.7,26.96,255.0,1.0,4602.0,0.675,4.637
K02345.01,15.18727049,4.509,292.5,1.94,789.0,91.56,6136.0,1.005,4.414
K02347.01,0.588001053,1.1451,297.4,0.99,1188.0,473.45,3814.0,0.57,4.687
K02348.01,85.7357202,7.625,747.7,2.94,448.0,9.54,6096.0,1.077,4.397
K02110.01,5.03728033,2.0619,76.3,1.55,1321.0,720.22,6387.0,1.381,4.271
K02180.01,11.55562042,1.6758,441.5,2.11,703.0,57.75,5420.0,0.85,4.555
K02181.01,12.2885046,2.807,342.1,3.22,913.0,164.61,5109.0,1.671,3.96
K02185.01,76.957056,9.551,367.1,2.09,451.0,9.81,5878.0,1.041,4.363
K02361.01,5.78387049,1.3966,413.3,2.07,1051.0,288.69,6063.0,1.012,4.476
K02362.02,11.08507658,1.751,771.8,2.5,665.0,46.17,5080.0,0.793,4.538
K02123.01,29.4557841,3.451,533.8,2.19,598.0,30.3,6036.0,0.949,4.491
K02194.01,34.7630543,4.309,293.7,1.75,554.0,22.23,5670.0,0.95,4.387
K00224.01,3.979867514,2.3607,907.6,26.5,1173.0,446.89,6032.0,0.973,4.485
K02354.01,1.151244686,1.272,269.6,40.32,1756.0,2253.09,6086.0,0.921,4.511
K02131.01,14.36270451,4.564,349.4,2.31,918.0,167.88,6643.0,1.216,4.357
K02367.01,6.89213244,1.725,82.0,1.35,1177.0,454.45,6164.0,1.446,4.227
K02302.01,16.8600805,5.557,273.4,1.71,765.0,80.9,6205.0,0.973,4.419
K02072.01,1.54320541,2.5779,91.2,1.23,1827.0,2636.85,5866.0,1.282,4.2
K00221.02,5.89661966,3.154,144.0,1.28,1000.0,237.1,5392.0,1.087,4.314
K02078.01,18.78429232,3.1136,1009.5,2.14,433.0,8.3,4243.0,0.641,4.637
K02151.01,7.47763833,2.5693,110.0,2.05,1346.0,776.56,5957.0,1.953,3.849
K02224.01,3.73090026,2.9095,191.2,1.48,1128.0,383.51,5709.0,0.95,4.489
K02224.02,86.130534,3.321,285.2,1.47,391.0,5.55,5830.0,0.876,4.54
K02226.01,8.46354384,1.4078,792.2,2.51,805.0,99.37,5427.0,0.887,4.495
K02232.01,101.1323475,4.366,1502.9,3.87,380.0,4.91,5492.0,1.016,4.389
K02233.01,1.811460943,5.065,428.5,2.83,1508.0,1224.37,5700.0,1.008,4.382
K02162.01,108.593113,7.989,338.2,1.68,374.0,4.64,5678.0,0.921,4.409
K02318.01,10.45839865,3.154,306.8,1.25,609.0,32.45,4641.0,0.747,4.557
K02324.01,1.204686597,0.823,233.2,1.55,1711.0,2026.81,5780.0,1.0,4.438
K02087.01,23.1274171,4.901,157.3,1.44,667.0,46.89,5865.0,1.066,4.393
K02164.01,5.1233204,2.7466,286.2,1.65,994.0,231.12,5364.0,0.982,4.394
K02243.01,5.18560081,4.054,252.6,2.34,1314.0,705.79,6172.0,1.471,4.198
K02245.01,33.4698571,4.749,370.7,2.45,609.0,32.52,5912.0,1.094,4.342
K02335.01,16.22378479,2.5462,262.3,1.51,676.0,49.35,5547.0,0.925,4.46
K02097.01,58.601926,5.522,396.4,2.06,508.0,15.8,6250.0,1.019,4.44
K02411.01,11.96407399,4.526,784.2,3.21,808.0,100.96,5903.0,0.961,4.437
K00250.02,17.25121397,2.0371,2054.8,2.64,385.0,5.17,3879.0,0.537,4.708
K02414.01,22.5968256,6.179,142.9,1.3,670.0,47.7,5610.0,1.104,4.301
K02414.02,45.3486381,4.858,162.9,1.61,531.0,18.84,5610.0,1.104,4.301
K00247.01,13.81504449,2.3244,1032.6,1.91,391.0,5.52,3732.0,0.509,4.736
K02565.01,2.01948607,5.248,275.4,2.15,1430.0,988.37,5884.0,0.944,4.481
K02644.01,0.790539912,1.0567,277.3,1.24,1502.0,1200.65,4791.0,0.767,4.541
K02646.01,0.532086296,4.023,495.8,16.99,1790.0,2417.28,5271.0,0.698,4.636
K00250.03,3.543919702,1.8717,507.0,1.21,652.0,42.68,3879.0,0.537,4.708
K02423.01,45.126216,6.656,373.1,2.32,604.0,31.54,6499.0,1.169,4.378
K02497.01,48.4313003,4.03,886.4,2.78,396.0,5.81,4891.0,0.805,4.516
K02651.01,6.38315744,1.7075,1112.6,2.35,787.0,91.0,5262.0,0.714,4.623
K00255.01,27.52194772,4.047,2312.8,2.47,314.0,2.28,3780.0,0.511,4.746
K02427.01,2.93101771,2.231,199.1,1.15,1134.0,390.28,5485.0,0.788,4.5
K02428.01,16.2276756,3.699,525.8,2.11,648.0,41.57,5328.0,0.883,4.447
K02503.01,14.8200596,3.902,184.9,0.96,552.0,21.92,4825.0,0.732,4.603
K02505.01,0.962827066,4.48,86.3,29.27,3399.0,31471.91,6534.0,3.028,3.647
K00250.04,46.82767725,1.9033,1537.7,2.13,276.0,1.37,3879.0,0.537,4.708
K02509.01,4.5513988,2.457,188.7,1.13,907.0,159.65,5009.0,0.84,4.491
K02658.01,11.6601667,5.882,181.0,2.08,834.0,114.36,5791.0,1.083,4.381
K00256.01,1.378649746,1.2232,22462.0,6.51,734.0,68.34,3440.0,0.439,4.82
K02666.01,64.034363,9.174,758.8,3.47,411.0,6.72,5691.0,0.783,4.561
K02667.01,1.303576682,1.021,245.5,1.51,1694.0,1940.45,6045.0,0.955,4.494
K02440.01,4.86638504,2.296,143.8,1.32,1121.0,372.7,5688.0,1.111,4.333
K02521.01,28.4750006,4.718,763.8,2.64,489.0,13.5,4996.0,0.831,4.497
K02593.01,14.7966306,5.613,56.1,0.98,874.0,138.25,6175.0,1.307,4.299
K02674.01,197.5111484,11.106,2575.6,9.52,391.0,5.54,5616.0,1.674,4.004
K02674.02,11.1726723,6.106,76.8,1.5,1019.0,255.06,5616.0,1.674,4.004
K02674.03,2.53573284,3.989,68.0,1.36,1671.0,1842.18,5616.0,1.674,4.004
K02521.02,4.86634094,1.885,366.7,1.94,881.0,142.39,4996.0,0.831,4.497
K02525.01,57.2932309,4.878,773.6,1.95,355.0,3.76,4806.0,0.729,4.564
K02600.01,1.33255087,3.565,123.3,1.19,1728.0,2107.29,5774.0,1.054,4.347
K02450.01,16.83203175,4.031,326.0,1.86,690.0,53.44,5518.0,1.008,4.4
K02451.01,13.37499553,1.639,458.1,2.01,703.0,57.85,5263.0,0.961,4.404
K02601.01,2.622134451,4.735,128.2,1.64,1548.0,1359.14,5864.0,1.369,4.199
K02531.01,17.6997392,2.76,752.7,1.96,523.0,17.73,4807.0,0.742,4.583
K02606.01,6.09740316,4.635,568.5,45.49,1826.0,2630.31,8828.0,1.828,4.227
K02535.01,48.8882668,6.468,462.8,2.96,386.0,5.23,4821.0,0.788,4.529
K02388.01,6.0959841,10.39,112.7,0.99,988.0,225.07,5826.0,0.885,4.43
K02543.01,1.302017467,1.3692,290.5,1.37,1344.0,772.73,4948.0,0.816,4.508
K02393.01,4.60300256,2.6848,302.5,1.32,848.0,122.02,4821.0,0.788,4.529
K02468.01,24.3344939,6.557,323.1,1.74,647.0,41.3,6091.0,0.967,4.487
K02547.01,8.94337724,2.469,215.1,1.48,946.0,188.93,6074.0,1.005,4.375
K00250.01,12.282998287,2.7096,2794.7,2.83,431.0,8.14,3879.0,0.537,4.708
K02626.01,38.0970717,4.307,913.3,1.58,242.0,0.81,3554.0,0.398,4.867
K02473.01,3.24417541,1.992,371.9,1.84,1047.0,283.66,5094.0,0.87,4.469
K02474.01,176.845697,3.812,431.6,42.05,291.0,1.69,5592.0,0.797,4.541
K02629.01,8.59000355,6.68,298.1,1.82,843.0,119.26,5817.0,0.876,4.538
K02482.01,45.0909201,4.605,436.3,2.44,487.0,13.27,5790.0,0.9,4.528
K02483.01,15.0539886,4.422,221.5,1.44,665.0,46.3,5475.0,0.818,4.479
K02840.01,3.67936863,3.47,85.9,0.92,1112.0,361.27,5676.0,0.848,4.474
K02840.02,7.4464635,4.084,78.0,0.77,879.0,141.12,5676.0,0.848,4.474
K02841.01,159.388788,8.432,1033.0,2.73,289.0,1.65,5135.0,0.874,4.464
K02842.01,1.565412613,0.7572,2754.6,1.73,648.0,41.85,3464.0,0.328,4.923
K02842.02,5.14892346,0.9613,2355.0,1.72,436.0,8.54,3464.0,0.328,4.923
K02765.01,2.75505467,3.426,85.5,1.74,1783.0,2387.41,6257.0,1.748,4.063
K02922.01,0.497581917,1.46,140.6,0.76,1801.0,2487.04,5271.0,0.63,4.634
K02850.01,1.11431205,2.112,160.4,1.07,1635.0,1691.99,5776.0,0.849,4.554
K02929.01,10.06478627,2.86,285.7,1.49,729.0,66.74,5438.0,0.82,4.574
K00277.01,16.23191704,7.461,501.6,3.54,926.0,174.1,5919.0,1.585,4.042
K02777.01,1.99566293,4.514,197.0,1.11,1182.0,462.26,5235.0,0.771,4.595
K02856.01,25.8730914,5.085,694.4,2.88,667.0,46.82,6036.0,1.093,4.382
K02857.01,20.2642023,4.664,185.3,2.12,770.0,82.92,5937.0,1.291,4.251
K00272.01,1.28132831,0.9157,525.5,4.52,2215.0,5673.71,5918.0,1.596,3.978
K02857.02,7.44136102,4.554,79.7,1.33,1075.0,315.02,5937.0,1.291,4.251
K02935.01,27.8813154,6.346,209.2,1.54,681.0,50.86,6434.0,1.055,4.414
K02780.01,3.35184041,1.9855,345.3,1.88,1294.0,661.69,6198.0,1.005,4.464
K02952.01,1.7592691,2.381,140.4,1.21,1519.0,1254.94,5784.0,0.984,4.416
K02962.01,2.17291055,2.139,76.4,0.93,1507.0,1220.49,6164.0,1.045,4.446
K02791.01,27.5722144,5.256,296.3,1.94,636.0,38.62,5912.0,1.09,4.397
K02792.01,2.12821621,3.146,25.9,0.7,1668.0,1831.55,5952.0,1.377,4.227
K02794.01,0.703399912,0.823,531.4,2.15,2013.0,3879.31,5955.0,0.91,4.52
K02797.01,0.868122253,1.5471,231.3,1.65,2047.0,4163.14,6116.0,1.084,4.44
K00277.02,13.84984567,7.2783,84.6,1.45,977.0,214.98,5919.0,1.585,4.042
K00262.01,7.81285862,4.098,117.3,1.68,1196.0,483.06,6237.0,1.543,4.136
K02798.01,0.916142298,1.1555,98.5,0.6,1212.0,507.47,4374.0,0.614,4.639
K02956.01,3.93766786,4.655,24.3,1.36,1947.0,3388.82,6277.0,2.741,3.728
K00279.01,28.45489091,8.1593,1418.6,6.08,769.0,82.7,6206.0,1.573,4.159
K02726.01,0.934924739,2.052,73.8,2.29,3156.0,23533.0,6477.0,2.628,3.781
K02804.01,2.62838097,3.193,89.9,1.01,1375.0,846.09,5884.0,1.07,4.408
K02877.01,5.30873978,3.018,127.5,1.08,1042.0,279.21,5914.0,0.955,4.483
K02676.01,195.613824,23.777,1651.9,10.65,467.0,11.24,5970.0,2.229,3.835
K00262.02,9.37663713,2.1033,118.4,1.89,1125.0,379.3,6237.0,1.543,4.136
K02817.01,0.634003002,0.9207,316.9,1.35,1714.0,2030.16,5226.0,0.75,4.606
K02889.01,5.24364571,16.984,270.4,25.01,1149.0,411.58,6197.0,1.056,4.406
K02680.01,14.4079035,2.524,3058.0,23.4,624.0,35.81,5440.0,0.728,4.617
K02744.01,109.6469948,6.568,899.7,4.85,428.0,7.95,5332.0,1.453,4.083
K02823.01,0.93375241,6.352,518.0,3.18,1594.0,1528.26,5402.0,0.815,4.581
K02688.01,5.424749327,1.139,7680.0,5.15,625.0,36.05,4137.0,0.591,4.658
K02748.01,23.1985852,9.821,224.7,2.61,793.0,93.34,5416.0,1.756,3.951
K02748.02,5.77721259,2.462,134.3,2.17,1260.0,596.37,5416.0,1.756,3.951
K02903.01,17.4166143,2.445,314.2,1.84,723.0,64.73,5946.0,1.017,4.444
K02905.01,36.0054414,3.262,117.5,3.33,1024.0,259.71,7048.0,2.838,3.797
K02750.01,174.636181,15.679,2500.9,11.12,481.0,12.65,5974.0,2.232,3.859
K00264.01,4.029810359,3.3316,111.1,1.77,1479.0,1132.21,5929.0,1.651,4.055
K02694.01,0.843379985,1.4474,343.3,1.7,1541.0,1329.99,4818.0,0.856,4.481
K02694.02,6.56606941,1.8455,402.4,1.83,777.0,86.27,4818.0,0.856,4.481
K02756.01,0.665025941,1.7542,104.7,1.11,2174.0,5246.66,5884.0,1.07,4.408
K02758.01,253.374581,22.889,1104.0,19.25,555.0,22.41,5177.0,5.949,3.216
K02838.01,7.69994466,4.432,70.9,0.92,969.0,208.61,5727.0,1.104,4.328
K02838.02,4.77466043,3.804,54.3,0.81,1137.0,395.06,5727.0,1.104,4.328
