transit_id,pl_period,pl_transit_duration,pl_transit_depth,pl_radius,pl_eq_temp,pl_insolation_flux,st_eff_temp,st_radius,st_logg
K03268.01,11.52482874,1.724,577.6,22.56,756.0,77.15,5592.0,0.892,4.472
K03269.01,46.84008579,3.8198,6287.9,428.62,552.0,22.0,6006.0,1.055,4.33
K04736.01,0.992798625,3.5065,582.5,29.26,1967.0,3519.47,6055.0,1.098,4.407
K04740.01,182.281992,8.828,509.3,1.67,280.0,1.46,5503.0,0.742,4.536
K03270.01,21.993112,8.616,1015.7,23.21,523.0,17.75,5205.0,0.747,4.604
K04813.01,9.2294726,2.446,199.3,0.82,601.0,30.83,4781.0,0.596,4.679
K04886.01,17.99562529,0.871,1068.0,28.98,701.0,57.21,5999.0,0.959,4.494
K01151.05,21.7203362,4.252,87.8,0.8,594.0,29.45,5528.0,0.853,4.499
K04747.01,92.263742,8.605,296.9,2.22,469.0,11.42,6084.0,1.283,4.287
K07710.01,1.23517588,5.476,232.9,1.59,1697.0,1955.7,5780.0,1.0,4.438
K04819.01,0.416995408,0.8928,112.6,0.84,2433.0,8299.79,6150.0,0.781,4.498
K07723.01,357.82544,9.12,152.5,1.7,306.0,2.08,6131.0,1.312,4.248
K04822.01,3.51413723,3.919,32.7,0.69,1267.0,609.04,6201.0,0.989,4.472
K04895.01,12.460565,3.903,143.9,1.1,726.0,65.72,5435.0,0.933,4.453
K01192.02,359.047933,16.637,5622.7,7.76,260.0,1.08,5609.0,1.048,4.346
K04827.01,31.1920226,2.849,447.8,1.65,521.0,17.43,5675.0,0.777,4.554
K04901.01,1.23142395,2.186,19.6,0.77,2317.0,6786.33,6011.0,1.73,3.971
K03204.01,0.572937573,2.576,80.8,1.57,3271.0,27058.33,7338.0,1.593,4.225
K04834.01,3.74099144,5.428,34.3,1.85,1733.0,2129.07,5110.0,3.231,3.611
K03588.01,2.544594443,3.21373,348777.0,109.72,1608.0,1582.68,5503.0,1.616,4.033
K03591.01,6.399101307,4.7439,83326.0,51.77,1042.0,279.38,6233.0,0.988,4.472
K07778.01,0.56678228,4.725,146.8,0.88,1661.0,1814.33,4796.0,0.749,4.56
K03366.01,10.6784787,2.307,201.0,1.12,712.0,60.7,5459.0,0.797,4.583
K03368.01,10.08535311,1.75,222.5,1.45,843.0,119.67,5947.0,0.945,4.487
K07746.01,393.95608,13.89,482.2,2.27,263.0,1.14,6217.0,0.989,4.472
K03437.01,15.0330623,6.326,132.2,2.18,928.0,175.74,5849.0,1.601,4.076
K03437.02,34.7496038,4.548,227.1,3.51,702.0,57.44,5849.0,1.601,4.076
K03511.01,119.67980316,32.1928,299046.0,193.91,847.0,121.45,8275.0,3.251,3.726
K03512.01,6.399107136,5.21981,376769.0,59.15,1031.0,266.9,6133.0,0.935,4.435
K03593.01,117.6813778,12.7591,45362.0,45.43,575.0,25.76,6429.0,2.079,3.899
K01731.02,0.837898153,2.104,268.9,1.26,1478.0,1128.57,4748.0,0.797,4.526
K07747.01,0.603086711,1.0869,1242.8,36.0,2459.0,8675.9,6353.0,1.134,4.397
K03520.01,135.58607679,5.54241,363134.0,89.83,429.0,7.99,6401.0,1.301,4.324
K03598.01,18.79862195,7.4782,380204.0,55.07,575.0,25.91,5334.0,0.796,4.585
K03445.01,82.303914,15.404,737.0,4.47,485.0,13.05,5602.0,1.425,4.13
K03525.01,6.282033445,8.3777,181787.0,144.85,1029.0,264.78,6074.0,0.976,4.45
K03604.01,4.818863794,6.2625,65936.5,51.32,1595.0,1529.01,6313.0,1.935,3.936
K03379.01,30.4544418,6.896,472.1,2.6,624.0,35.92,6283.0,0.984,4.472
K03383.01,37.8862977,5.218,672.2,2.09,479.0,12.46,5513.0,0.818,4.551
K03528.01,165.40574995,13.6363,66402.0,112.86,514.0,16.56,6061.0,2.185,3.759
K07781.01,0.715802309,1.5586,2208.6,25.52,1656.0,1787.96,5239.0,0.757,4.6
K07737.01,4.75307877,2.35,933.0,505.94,7040.0,580415.2,3486.0,180.013,0.5
K03385.01,54.061328105,4.48223,79684.0,88.28,514.0,16.51,5786.0,1.112,4.318
K03456.01,30.8609783,4.216,128.9,1.08,525.0,17.96,5627.0,0.833,4.552
K03534.01,29.911334059,7.26916,354377.0,47.83,471.0,11.68,5303.0,0.704,4.632
K03618.01,10.636305846,5.17212,216063.0,64.91,1110.0,358.62,6781.0,1.345,4.221
K03627.01,4.218512654,3.62939,23416.8,16.67,1189.0,472.03,6185.0,0.991,4.472
K03627.02,8.529991199,3.9954,20083.7,44.86,940.0,184.92,6185.0,0.991,4.472
K00352.02,16.00747237,1.267,277.6,2.99,838.0,116.46,5857.0,1.305,4.204
K07727.01,0.759740194,3.252,42.5,0.67,2059.0,4245.86,6046.0,1.007,4.478
K03613.01,3.053578643,3.22884,52879.9,35.35,1035.0,271.46,5414.0,0.714,4.625
K03399.01,14.15402615,4.115,21653.0,29.61,495.0,14.25,4352.0,0.661,4.61
K03468.01,20.7057153,9.678,115.9,3.22,967.0,206.73,5668.0,2.437,3.792
K01781.03,58.0198583,5.348,1286.6,3.46,354.0,3.7,4920.0,0.72,4.62
K03551.01,58.621578824,8.52961,142951.0,40.43,385.0,5.19,5232.0,0.725,4.554
K01681.02,1.992812339,2.066,314.8,6.81,675.0,48.82,3638.0,0.42,4.844
K07773.01,2.69339974,1.936,147.5,1.04,1151.0,415.96,5355.0,0.863,4.511
K03472.01,10.43003118,2.029,120.0,1.14,906.0,159.58,6277.0,1.031,4.449
K03553.01,65.583665567,5.01216,242398.0,41.22,371.0,4.5,5516.0,0.666,4.65
K03555.01,111.31980522,23.0078,62704.9,63.68,539.0,20.01,5022.0,2.58,3.562
K03479.01,75.13194883,20.8729,122372.0,26.21,359.0,3.94,5365.0,0.729,4.586
K03340.01,8.9539656,4.898,70.4,0.84,923.0,171.51,6168.0,0.947,4.452
K03340.02,13.7281373,5.304,106.6,1.06,800.0,97.06,6168.0,0.947,4.452
K01681.03,3.53105835,1.778,310.8,10.61,558.0,22.83,3638.0,0.42,4.844
K07731.01,0.755105584,5.02374,250026.0,76.26,2412.0,7996.1,6592.0,1.19,4.369
K03564.01,1.558544209,3.3727,225588.0,35.12,1182.0,460.09,4868.0,0.708,4.582
K03342.01,42.39930429,18.3609,205992.0,44.7,542.0,20.46,6153.0,0.962,4.487
K07732.01,0.759768478,2.824,57.4,0.64,1737.0,2149.06,5481.0,0.815,4.574
K07742.01,372.76888,23.27,1157.2,3.66,242.0,0.81,5800.0,0.894,4.514
K03348.01,36.4337867,4.388,406.8,2.2,561.0,23.35,5566.0,1.099,4.329
K07775.01,89.945828,2.286,335.6,3.46,509.0,15.86,5115.0,1.924,3.819
K03573.01,43.56225858,3.6873,51325.0,80.02,624.0,35.83,6411.0,1.216,4.307
K03423.01,30.2541186,2.134,576.3,2.8,660.0,44.87,6277.0,1.161,4.402
K03430.01,13.9248005,5.016,195.2,0.9,588.0,28.27,5271.0,0.648,4.669
K03432.01,48.0506878,7.999,274.5,2.36,564.0,23.9,5332.0,1.453,4.083
K03433.01,34.08429351,1.3521,3746.0,36.05,506.0,15.46,5252.0,0.922,4.428
K03667.01,2.489549075,2.4345,2829.7,59.57,1708.0,2007.56,6184.0,1.406,4.138
K02011.02,17.2653659,5.02,67.9,1.16,888.0,146.92,6388.0,1.402,4.244
K03745.01,7.45306683,4.7617,46552.0,1044.28,932.0,178.53,5780.0,1.0,4.438
K03746.01,2.929299629,7.102,83918.0,51.67,1272.0,618.11,5780.0,1.0,4.438
K03822.01,2.529073751,1.8827,1572.9,25.8,1137.0,395.83,5465.0,0.766,4.598
K00435.03,33.0405509,3.3613,577.4,2.36,561.0,23.4,5688.0,0.971,4.415
K03898.01,1.306723495,6.606,12456.6,27.42,1170.0,443.02,4651.0,0.657,4.612
K03675.01,20.8392148,2.3321,177508.0,51.9,584.0,27.45,5378.0,0.812,4.488
K07793.01,1.99469354,5.297,75.1,0.46,758.0,78.2,3799.0,0.51,4.738
K03682.01,11.344347453,5.9738,258242.0,62.52,810.0,101.92,5780.0,1.0,4.438
