transit_id,pl_period,pl_transit_duration,pl_radius,st_eff_temp,st_radius,ra,dec,source,isPlanet
K01237.01,14.32407216,4.6577,38.86,6022.0,1.039,294.58929,41.944382,Kepler,0
K01301.02,37.5142128,5.303,2.68,5291.0,0.882,293.14648,47.729649,Kepler,1
K00157.04,46.6856205,6.3794,2.52,5657.0,1.046,297.11511,41.909142,Kepler,1
K01303.01,34.2966363,19.718,3.29,5490.0,1.167,294.23007,48.204479,Kepler,1
K01602.01,9.97716876,5.908,2.53,5557.0,1.616,297.79691,39.921371,Kepler,1
K01723.01,59.6222627,6.888,3.63,6108.0,0.997,294.2413,47.275982,Kepler,1
K01495.01,15.59466045,5.0478,2.74,5900.0,0.929,297.66452,43.248959,Kepler,1
K00174.01,56.35407916,3.4449,2.59,4802.0,0.701,296.82291,48.107552,Kepler,1
K01559.01,1.332560589,4.2427,1.4,4489.0,0.609,295.18561,46.786709,Kepler,0
K01613.01,15.86624787,4.25,1.31,6099.0,1.308,285.47659,41.632717,Kepler,1
K01726.01,44.96407458,4.981,2.0,4827.0,0.729,294.95511,44.149818,Kepler,1
K01497.01,0.520222869,1.2216,1.52,5776.0,0.889,297.04651,49.97039,Kepler,0
K01619.01,20.6654374,3.172,0.66,4830.0,0.676,294.99023,39.346378,Kepler,1
K01621.01,20.31047472,5.3357,2.41,6065.0,1.877,298.5892,40.75069,Kepler,1
K01732.01,43.3167427,4.995,2.42,5654.0,0.774,293.60126,42.379761,Kepler,1
K01500.01,3.351556891,2.4005,1.64,5185.0,0.911,295.52521,46.459431,Kepler,0
K01503.01,150.2412582,10.849,4.6,5604.0,0.943,287.28531,51.249981,Kepler,1
K01565.01,0.466743525,1.3956,20.43,5791.0,0.856,296.33319,40.896259,Kepler,0
K01567.01,7.24022418,2.9153,2.14,4955.0,0.721,288.53867,40.61615,Kepler,1
K01567.02,4.64622383,2.5137,1.82,4955.0,0.721,288.53867,40.61615,Kepler,1
K01747.01,20.55848388,1.449,36.9,5578.0,0.936,291.41833,42.579819,Kepler,0
K01750.01,7.76845639,3.689,1.35,5447.0,0.917,293.30023,41.523338,Kepler,1
K01508.01,22.0459163,5.22,3.05,5900.0,0.951,294.52713,43.36816,Kepler,1
K01567.03,17.32670445,4.269,2.23,4955.0,0.721,288.53867,40.61615,Kepler,1
K01567.04,44.8411168,5.902,2.75,4955.0,0.721,288.53867,40.61615,Kepler,1
K01568.01,1.008917105,1.4577,1.51,5708.0,0.795,297.50385,40.342972,Kepler,0
K01570.01,6.33855946,3.4617,3.31,6108.0,1.03,284.96304,43.91301,Kepler,1
K01632.01,4.59489816,3.1381,1.85,6056.0,1.381,290.59207,45.737141,Kepler,1
K01633.01,32.2964275,4.561,1.9,5246.0,0.891,290.98331,45.973301,Kepler,1
K00190.01,12.264867364,4.7366,28.29,5372.0,2.344,284.64886,41.015018,Kepler,0
K00194.01,3.120828136,2.1878,14.16,6122.0,0.996,282.96616,48.34507,Kepler,1
K01754.01,15.13590453,2.236,2.57,6050.0,1.572,299.95721,44.771889,Kepler,1
K01574.01,114.73658,12.0355,12.28,5597.0,1.699,297.91687,46.96513,Kepler,1
K01574.02,191.239133,16.942,6.47,5597.0,1.699,297.91687,46.96513,Kepler,1
K01574.03,5.83393857,4.5813,1.98,5597.0,1.699,297.91687,46.96513,Kepler,1
K01648.01,38.3262237,3.073,2.43,5229.0,0.903,284.13263,48.825119,Kepler,1
K01760.01,5.52418625,2.826,2.25,5334.0,1.004,294.94388,39.032059,Kepler,1
K01760.02,8.77514782,3.176,1.91,5334.0,1.004,294.94388,39.032059,Kepler,1
K01519.01,5.1443645,2.703,1.55,5157.0,0.904,283.47818,43.383781,Kepler,1
K01579.01,7.132351753,2.9674,49.34,7530.0,1.93,294.83032,46.734348,Kepler,0
K01654.01,1.097211085,1.6738,16.07,3497.0,0.334,283.79654,49.50399,Kepler,0
K00195.01,3.217518511,2.11481,11.38,5720.0,0.903,289.43463,49.4734,Kepler,1
K01582.01,186.4361811,5.774,11.32,5393.0,1.37,290.12857,40.021832,Kepler,1
K01661.01,0.94773253,1.7645,45.58,6302.0,1.269,290.73804,39.919651,Kepler,0
K01528.01,3.989544192,1.591,0.93,5229.0,0.688,294.6499,43.33559,Kepler,1
K01669.01,61.0373591,8.378,3.38,6309.0,1.614,290.66852,40.39772,Kepler,1
K01465.01,9.771462706,1.767,10.15,5812.0,0.853,286.14938,49.867512,Kepler,1
K00178.01,6.14281498,4.624,1.82,6495.0,1.554,292.03149,49.388618,Kepler,0
K00172.01,13.7223682,5.1231,2.23,5637.0,0.943,293.26093,44.868889,Kepler,1
K01469.01,3.582076914,4.4228,5.33,6109.0,0.993,296.07822,43.13694,Kepler,0
K01590.01,12.89006728,3.555,1.93,4915.0,0.812,294.36487,40.720879,Kepler,1
K00185.01,23.210509958,3.09802,21.19,5875.0,0.809,296.18524,39.26268,Kepler,1
K01590.02,2.35574505,1.796,1.34,4915.0,0.812,294.36487,40.720879,Kepler,1
K01590.03,4.74666128,2.093,1.3,4915.0,0.812,294.36487,40.720879,Kepler,1
K01591.01,19.65639342,3.226,2.83,5288.0,0.74,297.73984,46.94191,Kepler,1
K01474.01,69.72646639,3.7177,11.65,6430.0,1.731,295.41788,51.184761,Kepler,1
K01475.01,1.609321941,1.6067,1.57,4224.0,0.603,297.43039,39.847839,Kepler,1
K01475.02,9.51220046,2.9497,1.99,4224.0,0.603,297.43039,39.847839,Kepler,1
K01475.03,4.72941177,2.234,1.22,4224.0,0.603,297.43039,39.847839,Kepler,1
K01693.01,3.403743926,1.5017,10.77,5596.0,0.853,293.25916,42.126629,Kepler,0
K00172.02,242.467406,12.808,1.73,5637.0,0.943,293.26093,44.868889,Kepler,1
K01479.01,4.9883872,9.142,2.59,5819.0,0.823,296.43814,46.61536,Kepler,0
K01544.01,1.525924389,3.15998,49.86,6203.0,1.06,295.32077,40.187359,Kepler,0
K01596.01,5.92365747,2.6302,0.99,3883.0,0.496,297.50986,46.961262,Kepler,1
K01596.02,105.3582299,3.81,1.87,3883.0,0.496,297.50986,46.961262,Kepler,1
K01551.01,31.13862664,5.2482,12.88,5919.0,1.0,290.56668,40.678162,Kepler,0
K01599.01,20.4074846,8.839,2.9,5823.0,0.972,298.37384,40.61842,Kepler,1
K00173.01,10.06083238,4.5718,2.58,5705.0,1.14,291.90704,49.262051,Kepler,1
K01554.01,1.332564478,6.0325,27.04,5995.0,0.878,295.21103,46.757229,Kepler,0
K01958.01,17.8159689,3.6765,3.12,5964.0,0.933,293.98157,46.687752,Kepler,1
K02033.01,16.54081386,2.5996,1.57,5064.0,0.769,291.74164,37.688938,Kepler,1
K01829.01,22.84156293,2.5997,30.0,5381.0,0.826,296.52243,43.363369,Kepler,0
K01892.01,62.5613879,5.907,3.54,5662.0,0.84,294.8161,45.306122,Kepler,1
K01895.01,8.45746636,2.2906,1.87,4347.0,0.524,291.83432,39.307362,Kepler,1
K01895.02,17.28116957,2.829,2.04,4347.0,0.524,291.83432,39.307362,Kepler,1
K01895.03,32.1340014,2.691,1.84,4347.0,0.524,291.83432,39.307362,Kepler,1
K01970.01,21.96401646,2.7509,2.57,5774.0,0.958,292.49963,46.324409,Kepler,1
K01970.02,125.602323,7.105,2.89,5774.0,0.958,292.49963,46.324409,Kepler,1
K01971.01,19.32945602,3.794,2.26,5026.0,0.763,293.68192,45.817558,Kepler,1
K00024.01,2.086075752,2.2647,10.3,6131.0,1.417,290.8154,39.819469,Kepler,0
K02045.01,5.47665801,2.5482,2.01,4650.0,0.706,285.75146,41.33564,Kepler,1
K01835.01,4.580346161,2.097,1.38,5103.0,0.789,294.32553,46.002251,Kepler,1
K01835.02,2.248288213,2.0361,1.25,5103.0,0.789,294.32553,46.002251,Kepler,1
K01835.03,6.76690759,1.7062,1.31,5103.0,0.789,294.32553,46.002251,Kepler,1
K01977.01,9.38740646,1.6165,1.69,4500.0,0.646,295.22879,45.97102,Kepler,1
K01977.02,7.41556471,1.973,0.79,4500.0,0.646,295.22879,45.97102,Kepler,1
K02045.02,24.2101973,4.046,1.5,4650.0,0.706,285.75146,41.33564,Kepler,1
K02047.01,6.22161107,3.4117,1.59,6277.0,1.097,293.19537,49.316502,Kepler,1
K01908.01,12.55111099,3.1293,1.34,4213.0,0.598,292.28607,40.913589,Kepler,1
